timestamp,run_id,model_name,device,dtype,mode,sequence_length,generated_tokens,batch_size,tokens_per_sec,latency_per_token_ms,kv_memory_mb,compression_ratio,accuracy_cosine,accuracy_mae,accuracy_mse,kl_divergence,next_token_agreement,generated_text_overlap,adaptive_policy,adaptive_update_interval,adaptive_monotonic,block_size,notes
2026-04-27T18:48:55.868241+00:00,20260427T184855Z_1711cfe6,sshleifer/tiny-gpt2,mps,float16,baseline,64,8,1,25.73859032048048,38.8521666318411,0.0010833740234375,1.0,0.9999964013695717,0.0,0.0,0.0,1.0,1.0,,,,16,macOS smoke benchmark
2026-04-27T18:48:55.868241+00:00,20260427T184855Z_1711cfe6,sshleifer/tiny-gpt2,mps,float16,int8,64,8,1,61.23222176778772,16.33127087552566,0.00061798095703125,1.7530864197530864,0.9999964013695717,0.0,0.0,0.0,1.0,1.0,,,,16,macOS smoke benchmark
2026-04-27T18:48:55.868241+00:00,20260427T184855Z_1711cfe6,sshleifer/tiny-gpt2,mps,float16,blocked_int8,64,8,1,189.2459027495684,5.28413025313057,0.0006866455078125,1.5777777777777777,0.9999964013695717,0.0,0.0,0.0,1.0,1.0,,,,16,macOS smoke benchmark
2026-04-27T18:48:55.868241+00:00,20260427T184855Z_1711cfe6,sshleifer/tiny-gpt2,mps,float16,adaptive_recency_k16,64,8,1,75.84918523673771,13.184057243051939,0.0005950927734375,1.8205128205128205,0.9999964013695717,0.0,0.0,0.0,1.0,1.0,recency,16,True,16,macOS smoke benchmark
