step,mode,cosine_similarity,mae,mse,kl_divergence,baseline_argmax_token,test_argmax_token,argmax_match
15,int8,0.999997615814209,0.0,0.0,0.0,16046,16046,1
0,blocked_int8,0.999995768070221,0.0,0.0,0.0,16046,16046,1
1,blocked_int8,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
2,blocked_int8,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
3,blocked_int8,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
4,blocked_int8,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
5,blocked_int8,0.9999982714653015,0.0,0.0,0.0,16046,16046,1
6,blocked_int8,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
7,blocked_int8,0.9999970197677612,0.0,0.0,0.0,16046,16046,1
8,blocked_int8,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
9,blocked_int8,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
10,blocked_int8,0.9999982714653015,0.0,0.0,0.0,16046,16046,1
11,blocked_int8,0.9999970197677612,0.0,0.0,0.0,16046,16046,1
12,blocked_int8,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
13,blocked_int8,0.999997615814209,0.0,0.0,0.0,16046,16046,1
14,blocked_int8,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
15,blocked_int8,0.999997615814209,0.0,0.0,0.0,16046,16046,1
0,adaptive,0.999995768070221,0.0,0.0,0.0,16046,16046,1
1,adaptive,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
2,adaptive,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
3,adaptive,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
4,adaptive,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
5,adaptive,0.9999982714653015,0.0,0.0,0.0,16046,16046,1
6,adaptive,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
7,adaptive,0.9999970197677612,0.0,0.0,0.0,16046,16046,1
8,adaptive,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
9,adaptive,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
10,adaptive,0.9999982714653015,0.0,0.0,0.0,16046,16046,1
11,adaptive,0.9999970197677612,0.0,0.0,0.0,16046,16046,1
12,adaptive,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
13,adaptive,0.999997615814209,0.0,0.0,0.0,16046,16046,1
14,adaptive,0.9999950528144836,0.0,0.0,0.0,16046,16046,1
15,adaptive,0.999997615814209,0.0,0.0,0.0,16046,16046,1
