step,mode,sequence_length,latency_ms,tokens_per_sec,kv_memory_mb,model_forward_ms,importance_scoring_ms,quantization_ms,dequantization_ms,precision_assignment_ms,tensor_copy_relayout_ms
0,baseline,128,1200.4690000321716,0.8330077661090797,0.001953125,983.3222918678075,0.0,0.0,0.0,0.0,0.0
1,baseline,128,39.22300017438829,25.49524502342829,0.0019683837890625,37.79766685329378,0.0,0.0,0.0,0.0,0.0
2,baseline,128,36.20333387516439,27.62176553817336,0.001983642578125,34.097042167559266,0.0,0.0,0.0,0.0,0.0
3,baseline,128,605.6558338459581,1.6511027288384692,0.0019989013671875,603.5997499711812,0.0,0.0,0.0,0.0,0.0
4,baseline,128,143.83608289062977,6.952358406203129,0.00201416015625,143.1584171950817,0.0,0.0,0.0,0.0,0.0
5,baseline,128,19.005958922207355,52.615077412987475,0.0020294189453125,18.479832913726568,0.0,0.0,0.0,0.0,0.0
6,baseline,128,19.378167111426592,51.60446776260572,0.002044677734375,18.95620790310204,0.0,0.0,0.0,0.0,0.0
7,baseline,128,18.368041841313243,54.442384693985645,0.0020599365234375,17.946625128388405,0.0,0.0,0.0,0.0,0.0
8,baseline,128,13.994958018884063,71.45430508977965,0.0020751953125,13.614750001579523,0.0,0.0,0.0,0.0,0.0
9,baseline,128,25.917166844010353,38.584464344377494,0.0020904541015625,25.517958914861083,0.0,0.0,0.0,0.0,0.0
10,baseline,128,12.754625175148249,78.40293119302714,0.002105712890625,12.35354202799499,0.0,0.0,0.0,0.0,0.0
11,baseline,128,12.149541871622205,82.30763024371389,0.0021209716796875,11.81375002488494,0.0,0.0,0.0,0.0,0.0
12,baseline,128,12.275167042389512,81.46528650459308,0.00213623046875,11.975291883572936,0.0,0.0,0.0,0.0,0.0
13,baseline,128,11.862375074997544,84.30015015354815,0.0021514892578125,11.556666111573577,0.0,0.0,0.0,0.0,0.0
14,baseline,128,13.015334028750658,76.83244992337626,0.002166748046875,12.628250056877732,0.0,0.0,0.0,0.0,0.0
15,baseline,128,12.93608290143311,77.30315332852544,0.0021820068359375,12.599499896168709,0.0,0.0,0.0,0.0,0.0
0,int8,128,473.11145812273026,2.1136668386090727,0.0010986328125,16.293083084747195,0.0,319.12825000472367,136.35933282785118,0.0,0.0
1,int8,128,205.914500169456,4.856384563384592,0.00112152099609375,9.321582969278097,0.0,124.94970811530948,71.14658318459988,0.0,0.0
2,int8,128,82.23283290863037,12.160592851168206,0.001129150390625,12.309332843869925,0.0,30.426499899476767,38.908832939341664,0.0,0.0
3,int8,128,76.82754192501307,13.016165491485364,0.00113677978515625,9.719541063532233,0.0,31.607750104740262,34.965458093211055,0.0,0.0
4,int8,128,73.13912501558661,13.67257264544648,0.0011444091796875,8.630958152934909,0.0,30.2477499935776,33.628375036641955,0.0,0.0
5,int8,128,83.43341597355902,11.985605387617248,0.00115203857421875,9.509583003818989,0.0,35.493374802172184,37.91999979875982,0.0,0.0
6,int8,128,81.44045900553465,12.27890918360419,0.00115966796875,13.509416952729225,0.0,32.44779189117253,35.02737497910857,0.0,0.0
7,int8,128,83.62958300858736,11.957491165504397,0.00116729736328125,9.397791931405663,0.0,32.195416977629066,41.55716602690518,0.0,0.0
8,int8,128,72.95654085464776,13.706790210795667,0.0011749267578125,8.164416998624802,0.0,30.710500199347734,33.62224996089935,0.0,0.0
9,int8,128,75.32329089008272,13.276106077989523,0.00118255615234375,11.765416013076901,0.0,29.144749976694584,33.87858415953815,0.0,0.0
10,int8,128,69.39762504771352,14.40971501996591,0.001190185546875,8.12629098072648,0.0,28.533542063087225,32.28874993510544,0.0,0.0
11,int8,128,68.08224995620549,14.688116221823734,0.00119781494140625,8.10825009830296,0.0,27.41112490184605,32.13666705414653,0.0,0.0
12,int8,128,93.1562080513686,10.734657634932669,0.0012054443359375,8.778374874964356,0.0,31.793207861483097,41.65458306670189,0.0,0.0
13,int8,128,68.79225000739098,14.536521190869044,0.00121307373046875,8.449624991044402,0.0,29.327542055398226,30.538333114236593,0.0,0.0
14,int8,128,66.43995898775756,15.051183282401832,0.001220703125,8.240874856710434,0.0,27.127749985083938,30.620875069871545,0.0,0.0
15,int8,128,69.98683302663267,14.288401928680809,0.00122833251953125,8.633374935016036,0.0,27.73983310908079,33.092041965574026,0.0,0.0
0,blocked_int8,128,12.12354120798409,82.48415069859614,0.0010986328125,8.821416879072785,0.0,0.5453750491142273,2.1524589974433184,0.0,0.0
1,blocked_int8,128,10.498374933376908,95.25283735302258,0.0012359619140625,7.872791029512882,0.0,0.703207915648818,1.5739579685032368,0.0,0.0
