step,mode,sequence_length,latency_ms,tokens_per_sec,kv_memory_mb,model_forward_ms,importance_scoring_ms,quantization_ms,dequantization_ms,precision_assignment_ms,tensor_copy_relayout_ms
0,baseline,128,608.7430421030149,1.6427292483628493,4.5,585.8353750081733,0.0,0.0,0.0,0.0,0.0
1,baseline,128,105.32470897305757,9.494448261478734,4.53515625,102.6986250653863,0.0,0.0,0.0,0.0,0.0
2,baseline,128,82.30437501333654,12.150022399635022,4.5703125,81.7092499928549,0.0,0.0,0.0,0.0,0.0
3,baseline,128,86.99712494853884,11.49463273173139,4.60546875,86.51350007858127,0.0,0.0,0.0,0.0,0.0
4,baseline,128,85.13033401686698,11.746694190132846,4.640625,84.64366698171943,0.0,0.0,0.0,0.0,0.0
5,baseline,128,84.75733397062868,11.798389037891804,4.67578125,84.28816602099687,0.0,0.0,0.0,0.0,0.0
6,baseline,128,85.43308300431818,11.705067461389113,4.7109375,84.9514160072431,0.0,0.0,0.0,0.0,0.0
7,baseline,128,83.00208405125886,12.047890259989602,4.74609375,82.52325002104044,0.0,0.0,0.0,0.0,0.0
8,baseline,128,82.20808405894786,12.164253813322583,4.78125,81.78208291064948,0.0,0.0,0.0,0.0,0.0
9,baseline,128,110.65924994181842,9.036750208642951,4.81640625,110.1752909598872,0.0,0.0,0.0,0.0,0.0
10,baseline,128,86.81641705334187,11.518558746620222,4.8515625,86.16370800882578,0.0,0.0,0.0,0.0,0.0
11,baseline,128,85.54195903707296,11.690169494091325,4.88671875,84.91604204755276,0.0,0.0,0.0,0.0,0.0
12,baseline,128,84.38616595230997,11.850283618349724,4.921875,83.78837502095848,0.0,0.0,0.0,0.0,0.0
13,baseline,128,84.45308392401785,11.840893825732836,4.95703125,84.00224999058992,0.0,0.0,0.0,0.0,0.0
14,baseline,128,88.67729210760444,11.276844119084753,4.9921875,88.19366700481623,0.0,0.0,0.0,0.0,0.0
15,baseline,128,83.34883395582438,11.997768325469423,5.02734375,82.95087504666299,0.0,0.0,0.0,0.0,0.0
16,baseline,128,88.67099997587502,11.2776443287216,5.0625,88.20999995805323,0.0,0.0,0.0,0.0,0.0
17,baseline,128,87.00924995355308,11.493030919515062,5.09765625,86.50608302559704,0.0,0.0,0.0,0.0,0.0
18,baseline,128,84.19770793989301,11.876807866478732,5.1328125,83.7409170344472,0.0,0.0,0.0,0.0,0.0
19,baseline,128,83.19833292625844,12.019471602710292,5.16796875,82.73941604420543,0.0,0.0,0.0,0.0,0.0
